"no","id","from_id","from_name","created_time","created_time_str","year","month","day","created_time_num","weekday","message","type","likes_count","shares_count","like_share","max_evento_8046_DR","max_emisor","max_dia_8699_DR","max_dia_emisor","link"
"495","303450469784702_429252743831737","303450469784702","Dr. Rodolfo Hernández","2013-03-24T09:59:52+0000","2013-03-24","2013","03","24","24/03/13","1","¿Por qué me hice Pediatra? Porque sentí el llamado... ¿Por qué quiero ser Presidente de Costa Rica? Porque mi trabajo por su familia y sus hijos apenas comienza. 
¡El Dr. 2014-2018!","video","7631","415","8046","100.0%","100.0%","92.5%","92.5%","https://www.youtube.com/watch?v=LIR9tZm4oGc"
"608","69554133109_10151587692928110","69554133109","Johnny Araya","2013-07-06T14:42:56+0000","2013-07-06","2013","07","06","06/07/13","7","¡Le pedimos a Dios que nos acompañe en este nuevo camino que con mucho amor hemos escogido!","photo","4832","91","4923","61.2%","100.0%","56.6%","75.0%","https://www.facebook.com/photo.php?fbid=10151587692873110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"610","69554133109_10151584109703110","69554133109","Johnny Araya","2013-07-04T14:22:05+0000","2013-07-04","2013","07","04","04/07/13","5","Después de varios años de construir una hermosa relación, Sandra y yo hemos decidido, con nuestros corazones llenos de certeza, unir nuestras vidas en matrimonio.  

Este es un momento muy importante para nosotros y para nuestras familias y nos llena de ilusión el poder compartir este proyecto de vida. ¡Le pedimos a Dios que nos acompañe en este nuevo camino que con mucho amor hemos escogido!","photo","3874","76","3950","49.1%","80.2%","45.4%","60.2%","https://www.facebook.com/photo.php?fbid=10151584109638110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"840","69554133109_10151251682888110","69554133109","Johnny Araya","2013-01-05T01:39:04+0000","2013-01-05","2013","01","05","05/01/13","7","Es tiempo de unir a Costa Rica, de lograr un país más incluyente, pluralista y democrático. Es momento de trabajar por devolver la confianza a los costarricenses y concentrarnos en los grandes retos que tenemos.","status","3533","124","3657","45.5%","74.3%","42.0%","55.7%","0"
"323","303450469784702_331622900300792","303450469784702","Dr. Rodolfo Hernández","2013-05-18T01:00:54+0000","2013-05-18","2013","05","18","18/05/13","7","Alguien tiene que enderezar el rumbo y yo estoy dispuesto a hacerlo.","video","3082","216","3298","41.0%","41.0%","37.9%","37.9%","http://www.youtube.com/watch?v=5jdSngYDn7s&feature=player_detailpage"
"838","69554133109_10151260591643110","69554133109","Johnny Araya","2013-01-10T14:21:35+0000","2013-01-10","2013","01","10","10/01/13","5","Con agradecimiento y humildad recibo las circunstancias que me están permitiendo ser candidato del PLN sin necesidad de una Convención interna. Estoy conciente de la enorme responsabilidad que me corresponde asumir  con el país. Pretendo ser un factor de unidad  en la sociedad costarricense. Le pido a Dios que me de la sabiduría para asumir los grandes retos que tengo por delante.","status","3204","84","3288","40.9%","66.8%","37.8%","50.1%","https://www.facebook.com/JohnnyArayaMonge/posts/10151260591643110"
"2556","113998707676_10151464818842677","113998707676","José María Villalta Florez-Estrada","2013-05-29T05:41:56+0000","2013-05-29","2013","05","29","29/05/13","4","Hoy tuve la desdicha de presenciar uno de los actos más soeces que he visto en el Parlamento: la agresión de Justo Orozco contra la diputada Carmen Muñoz. La supuesta ""recusación"" no tenía ni pies ni cabeza. Justo lo sabía: no podríamos legislar para proteger la vida porque estamos vivos, si votamos para proteger la dignidad humana incurriríamos en conflicto de intereses, si defendemos el ambiente, estaríamos legislando en beneficio propio. No. En el fondo el ""recurso"" de Orozco buscaba denigrar a la diputada Muñoz, humillarla y exponerla por su orientación sexual. Fue en sí mismo un acto de grosero de discriminación, pura apología del odio. Por eso ni siquiera lo leímos. Habríamos sido cómplices. Y también lo seríamos si no denunciamos esta barbaridad.","status","2669","512","3181","39.5%","100.0%","36.6%","50.2%","0"
"2603","113998707676_10151395025512677","113998707676","José María Villalta Florez-Estrada","2013-04-10T03:23:20+0000","2013-04-10","2013","04","10","10/04/13","4","Hoy, en la primera sesión legislativa de la comisión investigadora de la concesión de la carretera a San Ramón nos quedaron claras cuatro cosas: 1) El leonino contrato exonera a OAS hasta de pagar impuestos municipales, nuevo garrotazo a las comunidades alajuelenses. 2) El Gobierno tenía en sus manos, pero IGNORÓ un estudio pagado con consultorías de CONAVI que demuestra que se podían financiar la mayoría de las obras de mejoramiento de la carretera con subir un poco los peajes sin necesidad de la millonaria concesión. 3) La cesión del contrato se negoció de forma privada y en secreto entre Autopistas del Valle y OAS, sin respetar los principios elementales de publicidad y transparencia. Así pactaron un premio para la primera empresa por $33 millones, sin evaluar si cumplió, a pesar de que nunca construyó nada. 4) El ministro Pedro Castro fue consultor de OAS como el bufete de la exministra González asesoró a los dueños de Autopistas del Sol. El juego de las sillas musicales. Después como ministros se convierten en los principales voceros de estas empresas. La próxima semana seguimos. ¡Sobran motivos para salir a la calle este 11 de abril!","status","1758","1238","2996","37.2%","94.2%","34.4%","47.3%","0"
"2574","113998707676_10151424994887677","113998707676","José María Villalta Florez-Estrada","2013-05-01T17:02:34+0000","2013-05-01","2013","05","01","01/05/13","4","De 10 entrevistas que he dado a la prensa el día de hoy: 7 han sido para preguntarme sobre la vestimenta, la etiqueta, la corbata y que si estoy estrenando traje o no. Solo 3 sobre la situación política del país, la corrupción sistemática que saquea las arcas públicas, nuestras propuestas para este nuevo periodo legislativo, o la crisis social que enfrentan la mayoría de familias trabajadoras de nuestra patria. Mal síntoma. La forma por encima de la sustancia. Sin duda alguna no solo la Asamblea Legislativa tiene que cambiar muchas cosas si queremos rescatar a Costa Rica.","status","2513","443","2956","36.7%","92.9%","34.0%","46.7%","0"
"606","69554133109_10151589362498110","69554133109","Johnny Araya","2013-07-07T14:56:48+0000","2013-07-07","2013","07","07","07/07/13","1","Agradecemos tantos mensajes de cariño que Sandra y yo hemos recibido estos días. ¡Estamos muy felices y muy ilusionados de este nuevo camino que une nuestras vidas!","photo","2776","51","2827","35.1%","57.4%","32.5%","43.1%","https://www.facebook.com/photo.php?fbid=10151589362403110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"240","303450469784702_337448769718205","303450469784702","Dr. Rodolfo Hernández","2013-05-31T17:31:06+0000","2013-05-31","2013","05","31","31/05/13","6","Ha sido vilmente asesinado un defensor de la naturaleza por el simple hecho de defenderla.

Condeno con todas mis fuerzas este crimen atroz y pido a las autoridades nacionales no cesen en la búsqueda de los asesinos y a las judiciales que apliquen todo el peso de la ley contra los autores materiales e intelectuales de tan lamentable hecho.

A los familiares del biólogo asesinado, el joven Jairo Mora Sandoval, mis sentidas condolencias y mi profundo pesar por el sacrificio de un profesional soñador y comprometido.","photo","2372","361","2733","34.0%","34.0%","31.4%","31.4%","https://www.facebook.com/photo.php?fbid=337448763051539&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"2599","113998707676_10151396990862677","113998707676","José María Villalta Florez-Estrada","2013-04-11T18:58:50+0000","2013-04-11","2013","04","11","11/04/13","5","Muy buena la actividad en el centro de Alajuela. Miles de costarricenses en la calle diciéndole NO a las concesiones y los abusos. Vamos rumbo a Grecia, a seguir acompañando al Pueblo.
¡Hay Esperanza!
#concesionesNO","status","2544","95","2639","32.8%","83.0%","30.3%","41.7%","0"
"2746","113998707676_10151101142492677","113998707676","José María Villalta Florez-Estrada","2012-10-10T04:29:12+0000","2012-10-10","2012","10","10","10/10/12","4","Y tengo que decirlo. En este día triste, presencié el acto más mezquino del que tengo recuerdo en mi corta vida. Cuando empezaba mis palabras en homenaje a José Merino, la fracción en pleno del PLN se levantó y abandonó el Plenario. Después volvieron 4 o 5 pero ya era tarde. Total falta de humanidad. De compasión. Y de buenos modales elementales. Irrespeto absoluto a su memoria y a su familia. El agravio venía montado. De previo, una diputada intentó culparme por los condenables actos de violencia que un pequeño grupo ajeno a la lucha del fotocopiado cometió después de la marcha de las y los estudiantes. Con indignación, aclaré: ¡es mentira!, más bien estuve tratando de calmar los ánimos. Más probable sería que fueran infiltrados de la DIS. O del Gobierno. Lo sostengo porque es verdad. En todo caso, nada justifica semejante vulgaridad. Nada. Se retrataron de cuerpo entero.","status","2376","263","2639","32.8%","83.0%","30.3%","41.7%","0"
"2602","113998707676_10151395079547677","113998707676","José María Villalta Florez-Estrada","2013-04-10T04:29:39+0000","2013-04-10","2013","04","10","10/04/13","4","Buenas noticias! Por fin acabamos de aprobar la reforma para corregir la Ley Mordaza. Un logro del pueblo de Costa Rica!","status","2378","161","2539","31.6%","79.8%","29.2%","40.1%","0"
"822","69554133109_10151331782443110","69554133109","Johnny Araya","2013-02-08T18:52:51+0000","2013-02-08","2013","02","08","08/02/13","6","Un año más le doy gracias a Dios, por poder tener a mi padre con nosotros. Papá cumple hoy 91 años, está con muy buena salud y sigue siendo un importante apoyo y fuente de inspiración en mi vida.","photo","2409","43","2452","30.5%","49.8%","28.2%","37.4%","https://www.facebook.com/photo.php?fbid=10151331782383110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"2386","113998707676_10151598583362677","113998707676","José María Villalta Florez-Estrada","2013-08-07T19:41:03+0000","2013-08-07","2013","08","07","07/08/13","4","Si no me conoce, ¡acérquese!","video","1836","583","2419","30.1%","76.0%","27.8%","38.2%","https://www.youtube.com/watch?v=uQMHrrPBWW4"
"373","303450469784702_328127950650287","303450469784702","Dr. Rodolfo Hernández","2013-05-08T19:30:01+0000","2013-05-08","2013","05","08","08/05/13","4","Es preciso dar el lugar que corresponde a los jóvenes y abrazar sus ideas porque hoy más que nunca, Costa Rica necesita de la transformación y de la renovación de sus estructuras. Estoy convencido que será la juventud la que renueve y cambie a nuestro país. http://www.youtube.com/watch?v=fLCk9IozH-A&feature=player_detailpage","video","2243","137","2380","29.6%","29.6%","27.4%","27.4%","http://www.youtube.com/watch?v=fLCk9IozH-A&feature=player_detailpage"
"765","69554133109_10151469697588110","69554133109","Johnny Araya","2013-04-29T14:25:29+0000","2013-04-29","2013","04","29","29/04/13","2","Al cumplir un año más, le doy gracias a Dios por todo lo que me ha permitido vivir, por tener a mi lado una familia como la que tengo y tanta gente que me ha dado su amistad y cariño. Siempre en estas fechas tengo más presente que nunca la hermosa canción popularizada por Mercedes Sosa: “Gracias a la vida que me ha dado tanto”","photo","2322","48","2370","29.5%","48.1%","27.2%","36.1%","https://www.facebook.com/photo.php?fbid=10151469697498110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"841","69554133109_10151245142228110","69554133109","Johnny Araya","2013-01-01T07:18:43+0000","2013-01-01","2013","01","01","01/01/13","3","Adelante Costa Rica! Hoy es el primer día de un nuevo año, hagamos lo posible para que todo sea mejor!","status","2342","21","2363","29.4%","48.0%","27.2%","36.0%","0"
"2717","113998707676_10151143187757677","113998707676","José María Villalta Florez-Estrada","2012-11-09T03:52:40+0000","2012-11-09","2012","11","09","09/11/12","6","Hoy tristemente perdimos otro pedazo de Costa Rica. Hoy, frente a las oficinas centrales de la CCSS vi matones antimotines entrenados y comportándose como militares, sin ningún respeto por la población costarricense. Vi matones desesperados por garrotear a quién sea, hombre, mujer o niño. No importaba. Vi mal llamados policías envalentonados golpeando a un estudiante, pero que jamás tendrían tanto valor para enfrentarse a los verdaderos delincuentes que están saqueando este país. Vi a un ""comandante"" de la fuerza pública, ponerse casco para camuflarse y golpear impunemente a manifestantes. Vi a otro gorila pegarme garrotazos mientras se tapaba la cara para que no lo identificara. Si en Costa Rica hubiera justicia los que tendrían que haber salido en ""perrera"" no eran los ciudadanos que vinieron a defender la CCSS, sino el Ministro de Seguridad y las demás autoridades de la fuerza pública que abusaron de su autoridad y organizaron esta brutalidad.","status","2042","269","2311","28.7%","72.7%","26.6%","36.5%","0"
"2595","113998707676_10151404024377677","113998707676","José María Villalta Florez-Estrada","2013-04-17T02:35:43+0000","2013-04-17","2013","04","17","17/04/13","4","Estoy presentando un proyecto de reforma constitucional para eliminar la inmunidad de los miembros de los Supremos Poderes (diputad@s, ministr@s, magistrad@s, presidente, etc.) cuando se les investigue por delitos de corrupción. Que nunca más se pueda utilizar este privilegio para tapar los chorizos de l@s de arriba, obstaculizando las investigaciones y desapareciendo la evidencia. La lucha contra la corrupción en Costa Rica demanda medidas contundentes. Quienes ocupamos los más altos puestos en la dirección del Estado debemos predicar con el ejemplo. Nada le hace más daño a nuestra democracia que la impunidad de l@s que se roban la plata del pueblo. Por otra parte, quién nada debe, nada teme.","status","1965","308","2273","28.3%","71.5%","26.1%","35.9%","0"
"2569","113998707676_10151446321312677","113998707676","José María Villalta Florez-Estrada","2013-05-16T17:19:27+0000","2013-05-16","2013","05","16","16/05/13","5","Impresionante. El dueño de THX con nombre falso. El de OAS que firmó el contrato, con el poder vencido. ¿Y la DIS? ¿Y la Contraloría, que refrendó?
¿Cuánto más estará sucediendo? Es hora de de decirles “¡Basta ya!”.","status","1901","328","2229","27.7%","70.1%","25.6%","35.2%","0"
"573","69554133109_10151650187448110","69554133109","Johnny Araya","2013-08-06T20:26:39+0000","2013-08-06","2013","08","06","06/08/13","3","Ayer hace un mes que Sandra y yo unimos nuestras vidas. Estamos muy felices y le pedimos a Dios que siga acompañando nuestro camino.","photo","2175","32","2207","27.4%","44.8%","25.4%","33.6%","https://www.facebook.com/photo.php?fbid=10151650187338110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"2714","113998707676_10151148449262677","113998707676","José María Villalta Florez-Estrada","2012-11-13T01:05:58+0000","2012-11-13","2012","11","13","13/11/12","3","Algunas personas me han dicho que en vez de marchar en las calles me ponga a ""trabajar"". Creo que parten de concepciones distintas de lo que debe ser el trabajo de un diputado. En cuanto al trabajo legislativo ""formal"" o ""institucional"" puedo decir con creces que trabajo mucho: soy el diputado que individualmente ha presentado más proyectos de ley, estoy entre los 3 que tienen más leyes aprobadas (aunque el gobierno vete la mayoría) y entre los 5 que más asisten al Plenario. Pero creo que el trabajo de un diputado no se puede quedar ahí. Creo que también es nuestra obligación estar en la calle, marchando con la gente que lucha por defender sus derechos. Es cuestión de enfoques. Hay diputados que creen que su trabajo es asistir a los banquetes de los millonarios, a otros les encanta ser alfombra de empresas poderosas, también hay algunos que creen que estar con el pueblo es ir a repartir bonos y becas como si ellos las pagaran de su bolsillo. Allá ellos y ellas. Esa es su visión. Yo creo en cambio que mi lugar es a la par de la gente se organiza y se moviliza por rescatar este país. Cada quién en lo suyo. Para eso hay diversidad de partidos y fracciones legislativas.","status","2004","198","2202","27.4%","69.2%","25.3%","34.8%","0"
"774","69554133109_10151442213118110","69554133109","Johnny Araya","2013-04-11T20:57:42+0000","2013-04-11","2013","04","11","11/04/13","5","Estoy convencido de que los costarricenses merecen infraestructura y obra pública de primer mundo y debemos invertir en eso.
Ante las circunstancias que rodean la concesión de la ruta a San Ramón hay que hacer un alto en el camino. El contrato en las condiciones actuales, no debe continuar.  
Es necesario que el gobierno concrete una alternativa de diálogo que permita evaluar todos los pormenores y en particular dos temas: un replanteamiento de las tarifas de peajes, así como las mejoras que se puedan adicionar al proyecto, especialmente en el tramo de Manolos -San Ramón.","status","1927","250","2177","27.1%","44.2%","25.0%","33.2%","0"
"256","303450469784702_332525713543844","303450469784702","Dr. Rodolfo Hernández","2013-05-20T03:08:01+0000","2013-05-20","2013","05","20","20/05/13","2","Muchas gracias a los miles de hombres y mujeres que acudieron a votar desde muy temprano para demostrarnos a nosotros mismos y al país, que lo que se creía perdido apareció; que el certificado de defunción de este glorioso partido nunca se escribió; que hoy, la esperanza volvió para no abandonarnos nunca más. http://ow.ly/lbM3I","photo","2018","108","2126","26.4%","26.4%","24.4%","24.4%","https://www.facebook.com/photo.php?fbid=332525703543845&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"609","69554133109_10151586104228110","69554133109","Johnny Araya","2013-07-05T17:46:51+0000","2013-07-05","2013","07","05","05/07/13","6","NA","photo","2076","1","2077","25.8%","42.2%","23.9%","31.7%","https://www.facebook.com/photo.php?fbid=10151470370468110&set=a.10150604526898110.396478.69554133109&type=1&relevant_count=1"
"2528","113998707676_10151535122077677","113998707676","José María Villalta Florez-Estrada","2013-07-05T05:24:15+0000","2013-07-05","2013","07","05","05/07/13","6","¡Qué paradoja! Costa Rica gasta millones en publicidad para que los turistas vengan a ver nuestros tesoros naturales, pero no hay plata para proteger y conservar esos tesoros. Hoy en la comisión de ambiente defendimos nuestro proyecto de ley para garantizar financiamiento permanente a las áreas de protegidas del país (18.251). A partir del 2009 una ley triplicó los ingresos del ICT para promoción del turismo, pasando de 3 mil a 9 mil millones. Proponemos que el 50% de esos recursos se destine a cuidar nuestros parques nacionales. En 2011 el superávit del ICT fue de 16 mil millones, 6 mil millones más que el año anterior. Mientras tanto, nuestras áreas protegidas están abandonadas y quebradas, se necesitan al menos 800 nuevas plazas de guardaparques de forma urgente y hay muchas tierras que no se han pagado a sus antiguos propietarios. No se trata de debilitar al turismo: para que la oferta turística de este país sea sostenible debemos proteger la gallina de los huevos de oro.","status","1763","294","2057","25.6%","64.7%","23.6%","32.5%","0"
"831","69554133109_10151295028018110","69554133109","Johnny Araya","2013-01-30T23:24:47+0000","2013-01-30","2013","01","30","30/01/13","4","Mañana inscribiré formalmente mi candidatura en el PLN en un acto que se realizará en el Balcón Verde. Quiero encabezar un movimiento de renovación y recuperar nuestro compromiso social, para lograr un desarrollo económico con mayor equidad. ¡Quiero invitarles a que me acompañen en este evento!
Pueden seguirlo en vivo también en www.johnnyaraya.com","status","1998","54","2052","25.5%","41.7%","23.6%","31.3%","0"
"243","303450469784702_332537100209372","303450469784702","Dr. Rodolfo Hernández","2013-05-20T03:50:38+0000","2013-05-20","2013","05","20","20/05/13","2","Estoy halagado por tantos mensajes positivos. Yo agradezco a todos los que hoy dieron su granito de arena y a todas las personas que van a acompañarme desde el día de hoy y hasta Febrero, juntos le vamos a devolver la dignidad a Costa Rica.","video","1972","65","2037","25.3%","25.3%","23.4%","23.4%","http://www.youtube.com/watch?v=LUvzE027g4M&feature=player_embedded"
"2718","113998707676_10151143168607677","113998707676","José María Villalta Florez-Estrada","2012-11-09T03:27:59+0000","2012-11-09","2012","11","09","09/11/12","6","La brutalidad policial y la violencia promovida por este Gobierno no tiene límite. Una manifestación pacífica de comunidades afectadas por el deterioro de los servicios de salud de la CCSS fue brutalmente agredida a la 1 pm cuando estaba a punto de terminar. Mujeres, niños, adultos mayores que solo esperaban una respuesta de las autoridades de la CCSS fueron salvajemente golpeados por antimotines liderados por el Ministro Mario Zamora y el ""comandante"" Raúl Rivera, todo bajo las órdenes de la presidenta Chinchilla. Detuvieron a más de 20 personas ilegalmente por tomar fotos, hablar contra la corrupción o simplemente participar en la manifestación. Después de 5 horas tuvieron que liberarlos a todos porque no había ninguna prueba. La represión injustificada indignó con razón a mucha gente y eso provocó que la manifestación se extendiera por varias horas más hasta que liberaran a las personas detenidas ilegalmente. Después vinieron más agresiones y brutalidad, incluso contra diputadas y diputados. Todo lo que siguió fue provocado por la falta de sentido común de un gobierno que decidió garrotear a un grupo pacífico de manifestantes cuando estaban a punto de retirarse. ¡Qué verguenza este Gobierno! firme para garrotear a los débiles, blandengue con los corruptos que saquean la Caja.","status","1739","266","2005","24.9%","63.0%","23.0%","31.7%","0"
"842","69554133109_10151243917633110","69554133109","Johnny Araya","2012-12-31T16:20:49+0000","2012-12-31","2012","12","31","31/12/12","2","Recibamos con alegría, esperanza y optimismo el nuevo año. Que Dios nos ilumine y nos dé sabiduría para alcanzar nuestras metas y para que seamos capaces de construir una sociedad más solidaria. ¡Les deseo un Feliz Año Nuevo!","status","1962","34","1996","24.8%","40.5%","22.9%","30.4%","0"
"773","69554133109_10151449942083110","69554133109","Johnny Araya","2013-04-17T03:58:07+0000","2013-04-17","2013","04","17","17/04/13","4","Tras  escuchar  atentamente las observaciones y preocupaciones que motivan el rechazo de amplios sectores de nuestra sociedad al contrato de concesión de la carretera a San Ramón y después de estudiar el criterio de conocedores de esta materia  considero que el actual contrato no es viable ni conveniente y debe ser desestimado por el gobierno. 

La reconstrucción de esta ruta es de la mayor importancia para el país y el proyecto debe ser replanteado buscando un modelo de ejecución menos oneroso  y, sobre todo, con un costo  razonable para los usuarios de esta vía. 

Esta obra es estratégica por las repercusiones que tiene para la calidad de vida de miles de costarricenses y por el impacto en importantes actividades económicas. 

Respetuosamente le sugiero al gobierno buscar los mecanismos legales que permitan prescindir de este contrato y, al mismo tiempo, integrar de inmediato una Comisión del más alto nivel técnico y profesional, que podrían constituir, entre otros, Lanamme, el Instituto Tecnológico de Costa Rica, el MOPT y el Colegio Federado de Ingenieros y Arquitectos, para que, en un plazo razonable, haga una propuesta que permita identificar nuevas alternativas para reconstruir esta carretera.","status","1673","264","1937","24.1%","39.3%","22.3%","29.5%","0"
"565","69554133109_10151667384333110","69554133109","Johnny Araya","2013-08-15T14:50:04+0000","2013-08-15","2013","08","15","15/08/13","5","Un año más que le doy gracias a Dios por poder celebrar este día con mi mamá. Ella me ha inculcado el amor al prójimo como un valor esencial en la vida, me enseño desde niño a respetar a las personas por más humildes que fueran.
En familia estaremos celebrando este gran día en Palmares. Felicidades a Sandra, que es una madre extraordinaria y a todas las madres de Costa Rica. ¡Bendiciones!","photo","1902","24","1926","23.9%","39.1%","22.1%","29.4%","https://www.facebook.com/photo.php?fbid=10151667384253110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"2568","113998707676_10151446985572677","113998707676","José María Villalta Florez-Estrada","2013-05-17T03:49:38+0000","2013-05-17","2013","05","17","17/05/13","6","El caso del vuelo privado de la presidenta es sólo un síntoma de forma de hacer política de este gobierno y del PLN. Permanente confusión entre la función pública y sus negocios privados.  Desde la campaña ya quedan amarrados a gobernar para pagar deudas y ""favores"" de quienes los financiaron. Por eso tenemos ministr@s que ven normal recibir ""regalos"" de $60 mil por parte de empresas con ""oficinitas"" en el país. Estos regalos después los paga el pueblo con intereses de usura. Más que un asunto de nombres estamos ante la descomposición ética de una forma de gobernar implantada en Costa Rica desde hace 30 años. Nada hacemos con cambiar las caras, si sigue operando la misma maquinaria, la misma concepción de la política como ""oportunidad de negocio"", en vez de la búsqueda del bien común. Para contener la corrupción en nuestra Patria, la única vía es  sacar definitivamente del poder a los verdaderos responsables del saqueo institucionalizado.","status","1538","357","1895","23.6%","59.6%","21.8%","29.9%","0"
"806","69554133109_10151366883023110","69554133109","Johnny Araya","2013-02-27T23:07:58+0000","2013-02-27","2013","02","27","27/02/13","4","Hoy se inauguró la Ciudad Deportiva de Hatillo. La mejor herencia que nos queda de los Juegos Centroamericanos. El gimnasio más grande y con mejor tecnología del país, con capacidad para 5200 espectadores, la mejor Piscina Olímpica de Centro América, canchas de Racketball, pista de atletismo sintética, cancha de futbol y canchas multiuso. Inversión total 7 millones de dólares. ¡Celebremos el deporte!

Galería fotográfica acá: http://www.flickr.com/photos/johnnyarayamonge/","photo","1688","183","1871","23.3%","38.0%","21.5%","28.5%","https://www.facebook.com/photo.php?fbid=10151366882983110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"738","69554133109_10151534104663110","69554133109","Johnny Araya","2013-06-07T21:46:36+0000","2013-06-07","2013","06","07","07/06/13","6","¡Ayer fue el acto donde las autoridades del Partido declararon oficialmente mi candidatura!
Le pido a Dios que me de sabiduría y discernimiento para emprender junto a ustedes, a mí familia y junto a todos los costarricenses el reto de construir una patria, más próspera, más justa y en dónde la felicidad sea más que una estadística y se convierta en la condición natural de la mayoría de hogares. 

Es el tiempo para corregir. ¡Es el tiempo para unir!

Galería fotográfica del evento acá: http://www.flickr.com/photos/johnnyarayamonge/
Gracias a GRUPO EXPRESSO por la canción que nos tocaron en el acto, la pueden escuchar acá https://soundcloud.com/grupo-expresso/jhonny-araya-jingle-oficial","photo","1731","106","1837","22.8%","37.3%","21.1%","28.0%","https://www.facebook.com/photo.php?fbid=10151534104633110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"777","69554133109_10151428826708110","69554133109","Johnny Araya","2013-04-02T17:48:04+0000","2013-04-02","2013","04","02","02/04/13","3","Vivimos tiempos difíciles con amenazas de conflictos armados. La aprobación del Tratado sobre el Comercio de Armas en la ONU, impulsado por Costa Rica, representa un enorme paso hacia la búsqueda de la paz y la  disminución de la violencia en el mundo. ""La guerra es siempre una derrota de la humanidad"" decía Juan Pablo II. ¡Sigamos apostando por la paz!","status","1752","82","1834","22.8%","37.3%","21.1%","27.9%","0"
"341","303450469784702_331308613665554","303450469784702","Dr. Rodolfo Hernández","2013-05-17T05:25:44+0000","2013-05-17","2013","05","17","17/05/13","6","NA","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=331288863667529&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=2"
"343","303450469784702_331308626998886","303450469784702","Dr. Rodolfo Hernández","2013-05-17T05:25:44+0000","2013-05-17","2013","05","17","17/05/13","6","NA","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=331290063667409&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=2"
"344","303450469784702_331308633665552","303450469784702","Dr. Rodolfo Hernández","2013-05-17T05:25:44+0000","2013-05-17","2013","05","17","17/05/13","6","NA","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=331290743667341&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=2"
"374","303450469784702_328137300649352","303450469784702","Dr. Rodolfo Hernández","2013-05-08T18:58:04+0000","2013-05-08","2013","05","08","08/05/13","4","NA","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=328133667316382&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=18"
"377","303450469784702_327775207352228","303450469784702","Dr. Rodolfo Hernández","2013-05-07T19:01:03+0000","2013-05-07","2013","05","07","07/05/13","3","NA","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=327760784020337&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=12"
"382","303450469784702_326701514126264","303450469784702","Dr. Rodolfo Hernández","2013-05-05T02:53:25+0000","2013-05-05","2013","05","05","05/05/13","1","NA","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=326686640794418&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=11"
"409","303450469784702_323116204484795","303450469784702","Dr. Rodolfo Hernández","2013-04-26T23:42:44+0000","2013-04-26","2013","04","26","26/04/13","6","NA","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=323113331151749&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=12"
"434","303450469784702_319665634829852","303450469784702","Dr. Rodolfo Hernández","2013-04-19T05:09:36+0000","2013-04-19","2013","04","19","19/04/13","6","NA","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=319661204830295&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=6"
"448","303450469784702_317553515041064","303450469784702","Dr. Rodolfo Hernández","2013-04-14T22:50:58+0000","2013-04-14","2013","04","14","14/04/13","1","Giras que he realizado a diferentes comunidades, charlas con Dirigentes y vecinos de las diferentes zonas de Costa Rica","photo","1730","95","1825","22.7%","22.7%","21.0%","21.0%","https://www.facebook.com/photo.php?fbid=317552695041146&set=a.317508558378893.1073741833.303450469784702&type=1&relevant_count=12"
